Order Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Time_taken,Seasons_of_the_year,month,day_of_week,week_of_year,is_holiday,Sales,Quantity,Discount,Profit,price_per_unit
2011-06-09,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,5,Summer,6,3,23,False,911.424,4,0.2,68.3568,227.856
2014-04-16,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,5,Spring,4,2,16,False,15.552,3,0.2,5.4432,5.184
2013-12-06,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,5,Winter,12,4,49,False,407.976,3,0.2,132.5922,135.992
2012-11-22,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4,Autumn,11,3,47,True,68.81,5,0.8,-123.858,13.762
2012-11-22,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,4,Autumn,11,3,47,True,2.544,3,0.8,-3.816,0.848
2011-11-11,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",7,Autumn,11,4,45,True,665.88,6,0.0,13.3176,110.98
2011-05-13,Second Class,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,Spring,5,4,19,False,55.5,2,0.0,9.99,27.75
2011-08-27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,5,Summer,8,5,34,False,8.56,2,0.0,2.4824,4.28
2011-08-27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,5,Summer,8,5,34,False,213.48,3,0.2,16.011,71.16
2011-08-27,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",5,Summer,8,5,34,False,22.72,4,0.2,7.384,5.68
2013-12-10,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,4,Winter,12,1,50,False,19.46,7,0.0,5.0596,2.7800000000000002
2013-12-10,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",4,Winter,12,1,50,False,60.34,7,0.0,15.6884,8.620000000000001
2014-07-17,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,Summer,7,3,29,False,71.372,2,0.3,-1.0196,35.686
2012-09-25,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,Autumn,9,1,39,False,1044.63,3,0.0,240.2649,348.21000000000004
2013-01-16,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,4,Winter,1,2,3,False,11.648,2,0.2,4.2224,5.824
2013-01-16,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,4,Winter,1,2,3,False,90.57,3,0.0,11.7741,30.189999999999998
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4,Autumn,9,0,38,False,3083.43,7,0.5,-1665.0522,440.48999999999995
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,4,Autumn,9,0,38,False,9.618,2,0.7,-7.0532,4.809
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",4,Autumn,9,0,38,False,124.2,3,0.2,15.525,41.4
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,4,Autumn,9,0,38,False,3.264,2,0.2,1.1016,1.632
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",4,Autumn,9,0,38,False,86.304,6,0.2,9.7092,14.384
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",4,Autumn,9,0,38,False,6.858,6,0.7,-5.715,1.143
2012-09-17,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,4,Autumn,9,0,38,False,15.76,2,0.2,3.546,7.88
2014-10-20,Second Class,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,Staples,4,Autumn,10,0,43,False,29.472,3,0.2,9.9468,9.824
2013-12-09,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,2,Winter,12,0,50,False,1097.544,7,0.2,123.4737,156.792
2013-12-09,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2,Winter,12,0,50,False,190.92,5,0.6,-147.963,38.184
2012-12-27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",4,Winter,12,3,52,False,113.328,9,0.2,35.415,12.592
2012-12-27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4,Winter,12,3,52,False,532.3992,3,0.32,-46.9764,177.4664
2012-12-27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",4,Winter,12,3,52,False,212.058,3,0.3,-15.147,70.68599999999999
2012-12-27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,4,Winter,12,3,52,False,371.168,4,0.2,41.7564,92.792
2014-09-11,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,5,Autumn,9,3,37,False,147.168,4,0.2,16.5564,36.792
2013-07-18,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",5,Summer,7,3,29,False,77.88,2,0.0,3.894,38.94
2014-09-20,Standard Class,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4,Autumn,9,5,38,False,95.616,2,0.2,9.5616,47.808
2013-03-12,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,Spring,3,1,11,False,45.98,2,0.0,19.7714,22.99
2013-03-12,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,Spring,3,1,11,False,17.46,2,0.0,8.2062,8.73
2011-10-20,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",5,Autumn,10,3,42,False,211.96,4,0.0,8.4784,52.99
2013-06-21,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5,Summer,6,4,25,False,45.0,3,0.0,4.95,15.0
2013-06-21,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",5,Summer,6,4,25,False,21.8,2,0.0,6.104,10.9
2012-04-18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4,Spring,4,2,16,False,38.22,6,0.0,17.9634,6.37
2012-04-18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,4,Spring,4,2,16,False,75.18,6,0.0,35.3346,12.530000000000001
2012-04-18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,4,Spring,4,2,16,False,6.16,2,0.0,2.9568,3.08
2012-04-18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",4,Spring,4,2,16,False,89.99,1,0.0,17.0981,89.99
2013-12-12,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,6,Winter,12,3,50,False,15.26,7,0.0,6.2566,2.18
2013-12-12,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,6,Winter,12,3,50,False,1029.95,5,0.0,298.6855,205.99
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,1,Summer,6,1,25,False,208.56,6,0.0,52.14,34.76
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,1,Summer,6,1,25,False,32.4,5,0.0,15.552,6.4799999999999995
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,1,Summer,6,1,25,False,319.41,5,0.1,7.098,63.882000000000005
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",1,Summer,6,1,25,False,14.56,2,0.0,6.9888,7.28
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,1,Summer,6,1,25,False,30.0,2,0.0,3.3,15.0
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,1,Summer,6,1,25,False,48.48,4,0.2,16.362,12.12
2013-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1,Summer,6,1,25,False,1.68,1,0.0,0.84,1.68
2012-11-24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,Autumn,11,5,47,False,13.98,2,0.0,6.1512,6.99
2012-11-24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,Autumn,11,5,47,False,25.824,6,0.2,9.3612,4.304
2012-11-24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,6,Autumn,11,5,47,False,146.73,3,0.0,68.9631,48.91
2012-11-24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,6,Autumn,11,5,47,False,79.76,4,0.0,22.3328,19.94
2012-04-30,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5,Spring,4,0,18,False,213.115,5,0.3,-15.2225,42.623000000000005
2011-12-05,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",5,Winter,12,0,49,False,1113.024,8,0.2,111.3024,139.128
2011-12-05,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,5,Winter,12,0,49,False,167.968,4,0.2,62.988,41.992
2013-06-05,First Class,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,Summer,6,2,23,False,75.88,2,0.0,35.6636,37.94
2013-09-19,Standard Class,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,5,Autumn,9,3,38,False,4.616,1,0.2,1.731,4.616
2014-09-15,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,Autumn,9,0,38,False,19.05,3,0.0,8.763,6.3500000000000005
2012-04-26,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,6,Spring,4,3,17,False,831.936,8,0.2,-114.3912,103.992
2012-04-26,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",6,Spring,4,3,17,False,97.04,2,0.2,1.213,48.52
2012-04-26,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,6,Spring,4,3,17,False,72.784,1,0.2,-18.196,72.784
2014-12-10,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,2,Winter,12,2,50,False,1.248,3,0.8,-1.9344,0.416
2014-12-10,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",2,Winter,12,2,50,False,9.708,3,0.6,-5.8248,3.236
2014-12-10,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2,Winter,12,2,50,False,27.24,3,0.2,2.724,9.08
2011-11-26,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5,Autumn,11,5,47,False,19.3,5,0.6,-14.475,3.8600000000000003
2013-06-13,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3,Summer,6,3,24,False,208.16,1,0.0,56.2032,208.16
2013-06-13,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,3,Summer,6,3,24,False,16.74,3,0.0,8.0352,5.579999999999999
2011-10-12,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4,Autumn,10,2,41,False,14.9,5,0.0,4.172,2.98
2011-10-12,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",4,Autumn,10,2,41,False,21.39,1,0.0,6.2031,21.39
2012-09-03,Standard Class,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,5,Autumn,9,0,36,True,200.984,7,0.2,62.8075,28.712
2014-11-14,First Class,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,3,Autumn,11,4,46,False,230.376,3,0.2,-48.9549,76.792
2014-05-29,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2,Spring,5,3,22,False,301.96,2,0.0,33.2156,150.98
2014-10-27,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,7,Autumn,10,0,44,False,19.99,1,0.0,6.7966,19.99
2014-10-27,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,7,Autumn,10,0,44,False,6.16,2,0.0,2.9568,3.08
2013-04-06,Second Class,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,5,Spring,4,5,14,False,158.368,7,0.2,13.8572,22.624
2013-09-18,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,5,Autumn,9,2,38,False,20.1,3,0.0,6.633,6.7
2013-09-18,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,5,Autumn,9,2,38,False,73.584,2,0.2,8.2782,36.792
2013-09-18,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,5,Autumn,9,2,38,False,6.48,1,0.0,3.1104,6.48
2012-01-31,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,5,Winter,1,1,5,False,12.96,2,0.0,6.2208,6.48
2012-01-31,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",5,Winter,1,1,5,False,53.34,3,0.0,16.5354,17.78
2012-01-31,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,5,Winter,1,1,5,False,32.96,2,0.0,16.1504,16.48
2014-11-07,Standard Class,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,6,Autumn,11,4,45,False,5.682,1,0.7,-3.788,5.682
2014-11-10,Second Class,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,2,Autumn,11,0,46,False,96.53,7,0.0,40.5426,13.790000000000001
2014-06-18,First Class,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,3,Summer,6,2,25,False,51.312,3,0.2,17.9592,17.104
2013-09-07,Standard Class,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,5,Autumn,9,5,36,False,77.88,6,0.0,22.5852,12.979999999999999
2013-08-30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,4,Summer,8,4,35,False,64.624,7,0.2,22.6184,9.232
2013-08-30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,4,Summer,8,4,35,False,95.976,3,0.2,-10.7973,31.992
2013-08-30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,4,Summer,8,4,35,False,1.788,3,0.8,-3.0396,0.596
2013-12-02,Second Class,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),3,Winter,12,0,49,False,23.92,4,0.0,11.7208,5.98
2012-11-13,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,4,Autumn,11,1,46,False,238.896,6,0.2,-26.8758,39.815999999999995
2012-11-13,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",4,Autumn,11,1,46,False,102.36,3,0.2,-3.8385,34.12
2012-11-13,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",4,Autumn,11,1,46,False,36.882,3,0.7,-25.8174,12.293999999999999
2014-11-24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,5,Autumn,11,0,48,False,74.112,8,0.2,17.6016,9.264
2014-11-24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,5,Autumn,11,0,48,False,27.992,1,0.2,2.0994,27.992
2014-11-24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,5,Autumn,11,0,48,False,3.304,1,0.2,1.0738,3.304
2012-10-15,Standard Class,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,5,Autumn,10,0,42,False,339.96,5,0.2,67.992,67.99199999999999
2014-12-26,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,5,Winter,12,4,52,False,41.96,2,0.0,10.9096,20.98
2013-11-04,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",7,Autumn,11,0,45,False,75.96,2,0.0,22.788,37.98
2013-11-04,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",7,Autumn,11,0,45,False,27.24,6,0.0,13.3476,4.54
2011-08-25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",2,Summer,8,3,34,False,40.096,14,0.2,14.5348,2.864
2011-08-25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2,Summer,8,3,34,False,4.72,2,0.2,1.652,2.36
2011-08-25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,2,Summer,8,3,34,False,23.976,3,0.2,7.4925,7.992
2011-08-25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",2,Summer,8,3,34,False,130.464,6,0.2,44.0316,21.744
2012-03-02,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,4,Spring,3,4,9,False,787.53,3,0.0,165.3813,262.51
2012-04-05,Standard Class,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,5,Spring,4,3,14,False,157.794,1,0.7,-115.7156,157.794
2013-06-13,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,3,Summer,6,3,24,False,47.04,3,0.0,18.3456,15.68
2013-06-13,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,Summer,6,3,24,False,30.84,4,0.0,13.878,7.71
2013-06-13,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",3,Summer,6,3,24,False,226.56,6,0.0,63.4368,37.76
2013-06-13,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,3,Summer,6,3,24,False,115.02,9,0.0,51.759,12.78
2013-06-13,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,3,Summer,6,3,24,False,68.04,7,0.0,19.7316,9.72
2011-12-26,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2,Winter,12,0,52,True,600.558,3,0.3,-8.5794,200.186
2011-09-20,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,5,Autumn,9,1,38,False,617.7,6,0.5,-407.682,102.95
2014-11-06,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",7,Autumn,11,3,45,False,2.388,2,0.7,-1.8308,1.194
2014-11-06,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",7,Autumn,11,3,45,False,243.992,7,0.2,30.499,34.856
2013-11-07,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",4,Autumn,11,3,45,False,81.424,2,0.2,-9.1602,40.712
